"9001","1","Personal","500000.00","18.50","Active","2025-01-10","12"
"9002","3","Business","2500000.00","16.00","Active","2024-06-15","24"
"9003","4","Personal","800000.00","19.00","Completed","2023-02-20","12"
"9004","6","Business","5000000.00","15.50","Active","2024-03-12","36"
"9005","7","Personal","1000000.00","18.00","Active","2024-08-05","18"
"9006","9","Business","7000000.00","14.50","Active","2023-11-20","48"
"9007","10","Personal","600000.00","19.50","Completed","2023-05-10","12"
"9008","11","Mortgage","15000000.00","12.50","Active","2024-01-15","60"
"9009","13","Business","10000000.00","14.00","Active","2023-09-01","48"
"9010","15","Personal","1200000.00","18.50","Active","2024-07-10","18"
"9011","16","Business","3500000.00","16.00","Completed","2022-04-15","24"
"9012","18","Personal","700000.00","19.00","Active","2024-09-20","12"
"9013","19","Business","8000000.00","14.50","Active","2023-06-10","36"
"9014","21","Mortgage","12000000.00","12.00","Active","2024-02-01","60"
"9015","22","Personal","900000.00","18.00","Completed","2023-08-15","12"
"9016","23","Business","3000000.00","16.50","Active","2024-05-10","24"
"9017","25","Personal","1500000.00","18.50","Active","2024-10-05","18"
"9018","26","Business","12000000.00","13.50","Active","2023-03-15","48"
"9019","28","Mortgage","18000000.00","11.50","Active","2024-01-20","72"
"9020","29","Personal","800000.00","19.00","Completed","2023-04-10","12"
"9021","31","Business","4500000.00","15.50","Active","2024-06-01","36"
"9022","33","Personal","1000000.00","18.50","Active","2024-09-15","18"
"9023","35","Business","15000000.00","13.00","Active","2023-01-10","60"
"9024","36","Personal","900000.00","19.00","Completed","2022-10-05","12"
"9025","37","Personal","600000.00","18.50","Active","2024-11-01","12"
"9026","39","Business","9000000.00","14.00","Active","2023-07-20","48"
"9027","40","Personal","1100000.00","18.00","Active","2024-08-12","18"
"9028","2","Personal","400000.00","19.50","Completed","2023-06-01","12"
"9029","5","Personal","750000.00","18.50","Active","2024-04-15","12"
"9030","30","Business","2500000.00","16.00","Active","2024-02-20","24"
