"1001","1","Savings","450000.00","2023-02-15","Active","101"
"1002","2","Savings","280000.00","2022-08-10","Active","104"
"1003","3","Current","1250000.00","2021-11-05","Active","101"
"1004","4","Savings","850000.00","2023-06-20","Active","106"
"1005","5","Savings","620000.00","2024-01-12","Active","102"
"1006","6","Business","1850000.00","2021-05-18","Active","105"
"1007","7","Current","730000.00","2022-03-22","Active","108"
"1008","8","Savings","390000.00","2023-09-14","Active","103"
"1009","9","Current","2100000.00","2020-12-01","Active","107"
"1010","10","Salary","510000.00","2024-02-10","Active","102"
"1011","11","Savings","680000.00","2022-07-19","Active","104"
"1012","12","Savings","420000.00","2023-04-25","Active","109"
"1013","13","Business","3200000.00","2020-09-11","Active","101"
"1014","14","Salary","310000.00","2024-03-15","Active","105"
"1015","15","Savings","760000.00","2022-11-30","Active","106"
"1016","16","Current","920000.00","2021-08-16","Active","103"
"1017","17","Savings","250000.00","2023-10-05","Active","108"
"1018","18","Savings","510000.00","2022-05-27","Active","102"
"1019","19","Business","2750000.00","2020-06-13","Active","104"
"1020","20","Savings","180000.00","2024-04-08","Active","107"
"1021","21","Current","1450000.00","2021-02-17","Active","103"
"1022","22","Savings","570000.00","2023-01-29","Active","105"
"1023","23","Current","830000.00","2022-09-07","Active","108"
"1024","24","Savings","360000.00","2024-05-16","Active","110"
"1025","25","Savings","1100000.00","2021-12-21","Active","106"
"1026","26","Business","3500000.00","2020-04-14","Active","104"
"1027","27","Savings","640000.00","2023-07-03","Active","101"
"1028","28","Current","980000.00","2022-01-26","Active","109"
"1029","29","Salary","490000.00","2024-06-11","Active","102"
"1030","30","Savings","530000.00","2023-03-18","Active","107"
"1031","31","Current","1320000.00","2021-10-09","Active","103"
"1032","32","Savings","290000.00","2024-02-28","Active","110"
"1033","33","Current","870000.00","2022-06-15","Active","108"
"1034","34","Salary","550000.00","2023-12-02","Active","102"
"1035","35","Business","4100000.00","2020-02-20","Active","101"
"1036","36","Savings","710000.00","2021-09-13","Active","105"
"1037","37","Savings","430000.00","2023-05-22","Active","106"
"1038","38","Savings","470000.00","2022-10-31","Active","109"
"1039","39","Business","2950000.00","2020-07-07","Active","103"
"1040","40","Savings","680000.00","2024-01-25","Active","110"
